user_id,item_id,rating
47,4,2
47,3,2
47,26,2
47,7,2
47,24,2
47,29,2
47,5,4
47,23,1
47,18,3
47,13,5
48,5,3
48,23,2
48,19,4
48,13,4
48,1,5
48,30,1
48,14,5
48,2,3
48,10,2
48,26,3
49,28,5
49,2,2
49,7,5
49,29,4
49,1,5
49,22,4
49,15,4
49,17,4
49,27,4
49,24,4
50,16,2
50,11,4
50,29,2
50,26,5
50,12,5
50,1,5
50,5,1
50,8,4
50,27,5
50,13,1
