Review,Liked
amazing experience everything was perfect definitely worth visiting everything was perfect highly recommend this place enjoyed every bite absolutely loved it best restaurant in town everything was perfect worth the money will definitely come again pleasant surprise worth the money absolutely loved it wonderful ambiance enjoyed every bite enjoyed every bite outstanding flavors,1
outstanding flavors worth the money absolutely loved it absolutely loved it will definitely come again pleasant surprise service was excellent everything was perfect wonderful ambiance delicious taste and friendly staff wonderful ambiance,1
highly recommend this place very satisfied absolutely loved it will definitely come again definitely worth visiting fast service and good food will definitely come again,1
waste of money terrible experience poor service did not enjoy feels unhygienic,0
wonderful ambiance enjoyed every bite delicious taste and friendly staff wonderful ambiance super tasty meals pleasant surprise outstanding flavors five stars best restaurant in town will definitely come again fast service and good food service was excellent five stars amazing experience highly recommend this place super tasty meals super tasty meals pleasant surprise fast service and good food,1
never coming back staff was rude did not enjoy unpleasant visit,0
poor service terrible experience did not enjoy,0
pleasant surprise five stars super tasty meals super tasty meals best restaurant in town worth the money outstanding flavors great food and service will definitely come again amazing experience definitely worth visiting outstanding flavors,1
unpleasant visit not tasty at all staff was rude nothing special not tasty at all unpleasant visit completely underwhelming poor service totally overpriced never coming back bad quality food waited too long staff was rude bad quality food waste of money waited too long feels unhygienic bad quality food unpleasant visit,0
definitely worth visiting will definitely come again five stars highly recommend this place pleasant surprise delicious taste and friendly staff wonderful ambiance definitely worth visiting worth the money very satisfied absolutely loved it happy with the quality super tasty meals everything was perfect best restaurant in town super tasty meals enjoyed every bite pleasant surprise definitely worth visiting,1
definitely worth visiting five stars amazing experience amazing experience great food and service pleasant surprise amazing experience worth the money delicious taste and friendly staff everything was perfect everything was perfect everything was perfect great food and service highly recommend this place outstanding flavors pleasant surprise great food and service super tasty meals,1
highly recommend this place five stars highly recommend this place,1
staff was rude totally overpriced worst food ever unpleasant visit totally overpriced,0
did not enjoy feels unhygienic never coming back bad quality food food was cold waste of money,0
definitely worth visiting pleasant surprise absolutely loved it definitely worth visiting best restaurant in town service was excellent super tasty meals amazing experience happy with the quality fast service and good food service was excellent definitely worth visiting best restaurant in town happy with the quality wonderful ambiance worth the money,1
nothing special waited too long never coming back never coming back unpleasant visit totally overpriced,0
very disappointed unpleasant visit nothing special flavor was lacking worst food ever flavor was lacking feels unhygienic never coming back terrible experience food was cold,0
poor service unpleasant visit never coming back waste of money totally overpriced not tasty at all would not recommend did not enjoy completely underwhelming food was cold,0
delicious taste and friendly staff highly recommend this place outstanding flavors everything was perfect five stars worth the money absolutely loved it will definitely come again worth the money five stars,1
flavor was lacking flavor was lacking very disappointed totally overpriced not tasty at all terrible experience worst food ever very disappointed food was cold feels unhygienic never coming back completely underwhelming terrible experience nothing special waited too long bad quality food poor service food was cold,0
enjoyed every bite absolutely loved it happy with the quality happy with the quality super tasty meals very satisfied definitely worth visiting super tasty meals enjoyed every bite,1
would not recommend poor service totally overpriced food was cold nothing special food was cold feels unhygienic flavor was lacking bad quality food poor service flavor was lacking horrible service terrible experience horrible service food was cold not tasty at all never coming back,0
completely underwhelming waited too long feels unhygienic not tasty at all flavor was lacking staff was rude waited too long worst food ever very disappointed completely underwhelming did not enjoy waste of money,0
not tasty at all bad quality food nothing special worst food ever unpleasant visit worst food ever unpleasant visit food was cold staff was rude,0
bad quality food bad quality food would not recommend waste of money bad quality food very disappointed did not enjoy totally overpriced waste of money food was cold waste of money horrible service worst food ever staff was rude waste of money not tasty at all flavor was lacking not tasty at all flavor was lacking,0
everything was perfect enjoyed every bite service was excellent everything was perfect very satisfied everything was perfect delicious taste and friendly staff happy with the quality definitely worth visiting enjoyed every bite will definitely come again outstanding flavors definitely worth visiting wonderful ambiance outstanding flavors super tasty meals happy with the quality,1
completely underwhelming never coming back nothing special feels unhygienic food was cold nothing special,0
worst food ever not tasty at all flavor was lacking never coming back horrible service waste of money terrible experience feels unhygienic worst food ever not tasty at all did not enjoy terrible experience flavor was lacking waste of money waited too long feels unhygienic staff was rude,0
poor service staff was rude bad quality food waste of money terrible experience never coming back totally overpriced staff was rude bad quality food never coming back not tasty at all not tasty at all totally overpriced feels unhygienic horrible service would not recommend not tasty at all waste of money waste of money,0
everything was perfect fast service and good food super tasty meals,1
never coming back nothing special very disappointed not tasty at all feels unhygienic would not recommend staff was rude staff was rude worst food ever not tasty at all staff was rude very disappointed would not recommend completely underwhelming flavor was lacking terrible experience staff was rude did not enjoy very disappointed,0
did not enjoy never coming back did not enjoy food was cold poor service,0
staff was rude completely underwhelming food was cold totally overpriced food was cold nothing special horrible service totally overpriced staff was rude did not enjoy feels unhygienic,0
bad quality food not tasty at all would not recommend not tasty at all,0
feels unhygienic bad quality food would not recommend did not enjoy waited too long horrible service worst food ever waited too long poor service flavor was lacking poor service flavor was lacking would not recommend poor service waste of money nothing special never coming back never coming back staff was rude,0
fast service and good food wonderful ambiance absolutely loved it pleasant surprise fast service and good food enjoyed every bite service was excellent,1
best restaurant in town amazing experience amazing experience five stars amazing experience definitely worth visiting delicious taste and friendly staff enjoyed every bite very satisfied outstanding flavors enjoyed every bite amazing experience highly recommend this place highly recommend this place enjoyed every bite everything was perfect amazing experience five stars service was excellent enjoyed every bite,1
unpleasant visit bad quality food,0
terrible experience very disappointed nothing special,0
completely underwhelming did not enjoy flavor was lacking horrible service,0
outstanding flavors worth the money enjoyed every bite enjoyed every bite highly recommend this place happy with the quality outstanding flavors happy with the quality pleasant surprise worth the money,1
nothing special feels unhygienic waited too long waste of money not tasty at all,0
very disappointed waited too long did not enjoy poor service worst food ever staff was rude waste of money,0
nothing special unpleasant visit very disappointed not tasty at all would not recommend food was cold totally overpriced totally overpriced food was cold never coming back bad quality food,0
definitely worth visiting amazing experience delicious taste and friendly staff delicious taste and friendly staff service was excellent very satisfied service was excellent,1
terrible experience horrible service food was cold poor service never coming back horrible service feels unhygienic poor service staff was rude very disappointed,0
everything was perfect everything was perfect absolutely loved it will definitely come again,1
will definitely come again absolutely loved it service was excellent very satisfied definitely worth visiting happy with the quality,1
fast service and good food enjoyed every bite fast service and good food outstanding flavors amazing experience service was excellent fast service and good food outstanding flavors delicious taste and friendly staff,1
definitely worth visiting five stars happy with the quality very satisfied pleasant surprise best restaurant in town fast service and good food fast service and good food definitely worth visiting delicious taste and friendly staff,1
delicious taste and friendly staff highly recommend this place wonderful ambiance super tasty meals,1
will definitely come again wonderful ambiance very satisfied highly recommend this place everything was perfect delicious taste and friendly staff highly recommend this place great food and service will definitely come again best restaurant in town great food and service five stars,1
staff was rude unpleasant visit unpleasant visit very disappointed food was cold did not enjoy waited too long,0
worst food ever not tasty at all flavor was lacking horrible service nothing special feels unhygienic not tasty at all staff was rude food was cold did not enjoy never coming back food was cold unpleasant visit very disappointed bad quality food bad quality food completely underwhelming did not enjoy feels unhygienic,0
did not enjoy horrible service food was cold flavor was lacking totally overpriced flavor was lacking staff was rude feels unhygienic horrible service waited too long terrible experience horrible service very disappointed totally overpriced horrible service,0
did not enjoy terrible experience terrible experience would not recommend,0
staff was rude staff was rude never coming back horrible service worst food ever completely underwhelming food was cold totally overpriced,0
service was excellent everything was perfect enjoyed every bite great food and service will definitely come again delicious taste and friendly staff enjoyed every bite super tasty meals definitely worth visiting delicious taste and friendly staff worth the money great food and service service was excellent definitely worth visiting best restaurant in town worth the money happy with the quality best restaurant in town absolutely loved it definitely worth visiting,1
poor service horrible service flavor was lacking unpleasant visit,0
would not recommend food was cold horrible service,0
great food and service best restaurant in town wonderful ambiance enjoyed every bite,1
wonderful ambiance amazing experience everything was perfect,1
service was excellent five stars happy with the quality fast service and good food enjoyed every bite everything was perfect great food and service highly recommend this place best restaurant in town best restaurant in town,1
outstanding flavors five stars amazing experience best restaurant in town service was excellent amazing experience service was excellent best restaurant in town,1
outstanding flavors happy with the quality great food and service,1
outstanding flavors will definitely come again service was excellent happy with the quality pleasant surprise definitely worth visiting five stars outstanding flavors everything was perfect service was excellent happy with the quality worth the money service was excellent,1
worst food ever completely underwhelming terrible experience,0
pleasant surprise amazing experience everything was perfect wonderful ambiance service was excellent service was excellent delicious taste and friendly staff best restaurant in town enjoyed every bite super tasty meals will definitely come again great food and service happy with the quality amazing experience,1
would not recommend worst food ever flavor was lacking nothing special did not enjoy would not recommend,0
nothing special completely underwhelming staff was rude flavor was lacking not tasty at all terrible experience completely underwhelming staff was rude waste of money,0
horrible service not tasty at all waste of money bad quality food unpleasant visit terrible experience very disappointed staff was rude terrible experience very disappointed waste of money not tasty at all unpleasant visit not tasty at all,0
worth the money fast service and good food highly recommend this place will definitely come again amazing experience worth the money best restaurant in town everything was perfect super tasty meals fast service and good food definitely worth visiting worth the money,1
flavor was lacking horrible service never coming back worst food ever not tasty at all,0
everything was perfect very satisfied will definitely come again five stars pleasant surprise delicious taste and friendly staff delicious taste and friendly staff highly recommend this place service was excellent enjoyed every bite everything was perfect absolutely loved it,1
enjoyed every bite fast service and good food great food and service very satisfied very satisfied service was excellent amazing experience worth the money amazing experience wonderful ambiance best restaurant in town fast service and good food,1
highly recommend this place fast service and good food,1
totally overpriced never coming back unpleasant visit feels unhygienic food was cold totally overpriced did not enjoy,0
definitely worth visiting service was excellent service was excellent highly recommend this place amazing experience very satisfied delicious taste and friendly staff,1
worth the money super tasty meals will definitely come again pleasant surprise outstanding flavors absolutely loved it worth the money,1
totally overpriced would not recommend completely underwhelming completely underwhelming flavor was lacking never coming back would not recommend completely underwhelming feels unhygienic totally overpriced very disappointed,0
unpleasant visit very disappointed would not recommend feels unhygienic poor service would not recommend bad quality food waited too long bad quality food feels unhygienic staff was rude,0
waited too long poor service not tasty at all feels unhygienic worst food ever poor service never coming back terrible experience terrible experience very disappointed did not enjoy not tasty at all completely underwhelming feels unhygienic terrible experience would not recommend,0
feels unhygienic completely underwhelming would not recommend never coming back worst food ever totally overpriced very disappointed unpleasant visit did not enjoy worst food ever very disappointed bad quality food worst food ever unpleasant visit very disappointed very disappointed totally overpriced,0
wonderful ambiance delicious taste and friendly staff super tasty meals everything was perfect five stars highly recommend this place outstanding flavors pleasant surprise outstanding flavors,1
totally overpriced totally overpriced food was cold horrible service unpleasant visit food was cold food was cold,0
pleasant surprise definitely worth visiting great food and service absolutely loved it,1
worth the money delicious taste and friendly staff delicious taste and friendly staff very satisfied five stars everything was perfect fast service and good food fast service and good food fast service and good food worth the money very satisfied will definitely come again,1
food was cold unpleasant visit totally overpriced bad quality food not tasty at all not tasty at all did not enjoy unpleasant visit food was cold staff was rude feels unhygienic unpleasant visit worst food ever,0
super tasty meals fast service and good food worth the money happy with the quality worth the money amazing experience wonderful ambiance service was excellent super tasty meals pleasant surprise super tasty meals pleasant surprise outstanding flavors happy with the quality very satisfied five stars pleasant surprise everything was perfect,1
delicious taste and friendly staff absolutely loved it worth the money super tasty meals great food and service fast service and good food great food and service,1
completely underwhelming worst food ever bad quality food waited too long totally overpriced poor service worst food ever bad quality food waste of money totally overpriced food was cold,0
very disappointed poor service unpleasant visit poor service,0
great food and service amazing experience enjoyed every bite absolutely loved it outstanding flavors will definitely come again best restaurant in town definitely worth visiting very satisfied worth the money,1
would not recommend waste of money completely underwhelming flavor was lacking flavor was lacking totally overpriced,0
poor service staff was rude very disappointed feels unhygienic unpleasant visit flavor was lacking worst food ever horrible service bad quality food,0
horrible service not tasty at all,0
great food and service enjoyed every bite absolutely loved it,1
nothing special never coming back not tasty at all not tasty at all staff was rude terrible experience very disappointed completely underwhelming never coming back terrible experience flavor was lacking completely underwhelming not tasty at all not tasty at all feels unhygienic terrible experience not tasty at all,0
will definitely come again very satisfied service was excellent delicious taste and friendly staff outstanding flavors outstanding flavors absolutely loved it happy with the quality absolutely loved it,1
very disappointed nothing special staff was rude food was cold waited too long staff was rude worst food ever staff was rude staff was rude worst food ever completely underwhelming unpleasant visit never coming back would not recommend very disappointed,0
never coming back horrible service unpleasant visit did not enjoy unpleasant visit very disappointed unpleasant visit staff was rude waited too long would not recommend poor service bad quality food totally overpriced,0
great food and service outstanding flavors delicious taste and friendly staff best restaurant in town definitely worth visiting,1
highly recommend this place will definitely come again will definitely come again very satisfied amazing experience five stars amazing experience happy with the quality fast service and good food absolutely loved it absolutely loved it super tasty meals definitely worth visiting very satisfied highly recommend this place very satisfied service was excellent super tasty meals,1
happy with the quality enjoyed every bite will definitely come again happy with the quality pleasant surprise super tasty meals pleasant surprise absolutely loved it worth the money fast service and good food highly recommend this place fast service and good food delicious taste and friendly staff,1
worst food ever flavor was lacking would not recommend nothing special would not recommend,0
pleasant surprise happy with the quality everything was perfect service was excellent will definitely come again very satisfied best restaurant in town wonderful ambiance will definitely come again five stars worth the money service was excellent service was excellent fast service and good food definitely worth visiting,1
fast service and good food absolutely loved it delicious taste and friendly staff five stars happy with the quality outstanding flavors service was excellent delicious taste and friendly staff best restaurant in town will definitely come again,1
poor service worst food ever not tasty at all food was cold worst food ever poor service waste of money never coming back waste of money totally overpriced,0
delicious taste and friendly staff outstanding flavors amazing experience everything was perfect fast service and good food super tasty meals delicious taste and friendly staff absolutely loved it delicious taste and friendly staff highly recommend this place will definitely come again five stars highly recommend this place best restaurant in town will definitely come again pleasant surprise five stars,1
nothing special waste of money totally overpriced food was cold never coming back poor service poor service would not recommend never coming back never coming back feels unhygienic staff was rude very disappointed completely underwhelming poor service never coming back horrible service poor service,0
very disappointed poor service waste of money staff was rude worst food ever worst food ever would not recommend waited too long poor service totally overpriced never coming back very disappointed horrible service horrible service unpleasant visit completely underwhelming waste of money horrible service would not recommend poor service,0
service was excellent happy with the quality delicious taste and friendly staff very satisfied amazing experience definitely worth visiting delicious taste and friendly staff pleasant surprise outstanding flavors wonderful ambiance amazing experience delicious taste and friendly staff service was excellent,1
everything was perfect everything was perfect amazing experience,1
never coming back terrible experience never coming back did not enjoy did not enjoy terrible experience,0
absolutely loved it pleasant surprise pleasant surprise fast service and good food fast service and good food super tasty meals happy with the quality outstanding flavors happy with the quality,1
nothing special feels unhygienic waste of money unpleasant visit not tasty at all completely underwhelming terrible experience very disappointed,0
did not enjoy poor service worst food ever very disappointed flavor was lacking waste of money not tasty at all very disappointed completely underwhelming did not enjoy staff was rude totally overpriced,0
enjoyed every bite pleasant surprise pleasant surprise wonderful ambiance happy with the quality worth the money wonderful ambiance will definitely come again great food and service best restaurant in town absolutely loved it very satisfied definitely worth visiting highly recommend this place five stars five stars very satisfied best restaurant in town fast service and good food service was excellent,1
not tasty at all worst food ever totally overpriced very disappointed waited too long,0
totally overpriced unpleasant visit worst food ever horrible service food was cold unpleasant visit unpleasant visit,0
poor service staff was rude flavor was lacking unpleasant visit terrible experience feels unhygienic staff was rude waited too long waste of money staff was rude totally overpriced never coming back poor service would not recommend not tasty at all very disappointed unpleasant visit waste of money totally overpriced flavor was lacking,0
unpleasant visit would not recommend flavor was lacking not tasty at all totally overpriced would not recommend not tasty at all flavor was lacking flavor was lacking would not recommend waste of money never coming back very disappointed,0
worst food ever totally overpriced food was cold flavor was lacking very disappointed completely underwhelming completely underwhelming flavor was lacking staff was rude flavor was lacking would not recommend horrible service,0
horrible service feels unhygienic flavor was lacking poor service horrible service waste of money feels unhygienic waste of money terrible experience,0
nothing special unpleasant visit terrible experience would not recommend worst food ever,0
outstanding flavors service was excellent enjoyed every bite delicious taste and friendly staff worth the money super tasty meals worth the money service was excellent great food and service outstanding flavors wonderful ambiance definitely worth visiting will definitely come again service was excellent wonderful ambiance,1
pleasant surprise great food and service everything was perfect happy with the quality super tasty meals wonderful ambiance very satisfied wonderful ambiance fast service and good food everything was perfect pleasant surprise highly recommend this place service was excellent great food and service happy with the quality enjoyed every bite,1
not tasty at all unpleasant visit food was cold poor service bad quality food flavor was lacking staff was rude not tasty at all feels unhygienic totally overpriced worst food ever poor service totally overpriced bad quality food did not enjoy feels unhygienic feels unhygienic,0
best restaurant in town five stars fast service and good food,1
happy with the quality fast service and good food outstanding flavors,1
flavor was lacking unpleasant visit staff was rude nothing special totally overpriced,0
waited too long horrible service worst food ever would not recommend never coming back unpleasant visit feels unhygienic,0
never coming back never coming back,0
unpleasant visit bad quality food very disappointed totally overpriced worst food ever never coming back poor service unpleasant visit completely underwhelming staff was rude never coming back worst food ever poor service never coming back very disappointed very disappointed feels unhygienic food was cold,0
staff was rude totally overpriced horrible service flavor was lacking food was cold unpleasant visit would not recommend,0
would not recommend staff was rude never coming back very disappointed would not recommend did not enjoy completely underwhelming horrible service terrible experience not tasty at all,0
pleasant surprise definitely worth visiting amazing experience very satisfied pleasant surprise everything was perfect highly recommend this place best restaurant in town outstanding flavors amazing experience worth the money highly recommend this place outstanding flavors will definitely come again will definitely come again best restaurant in town outstanding flavors worth the money,1
will definitely come again absolutely loved it amazing experience will definitely come again delicious taste and friendly staff everything was perfect everything was perfect highly recommend this place super tasty meals definitely worth visiting service was excellent super tasty meals service was excellent amazing experience fast service and good food worth the money,1
very satisfied outstanding flavors outstanding flavors outstanding flavors super tasty meals best restaurant in town,1
everything was perfect fast service and good food highly recommend this place pleasant surprise very satisfied best restaurant in town worth the money super tasty meals amazing experience great food and service five stars absolutely loved it pleasant surprise,1
feels unhygienic never coming back poor service,0
great food and service absolutely loved it amazing experience,1
everything was perfect everything was perfect will definitely come again amazing experience amazing experience very satisfied everything was perfect five stars pleasant surprise outstanding flavors best restaurant in town five stars pleasant surprise,1
service was excellent highly recommend this place worth the money five stars absolutely loved it will definitely come again everything was perfect fast service and good food everything was perfect,1
very satisfied fast service and good food great food and service happy with the quality fast service and good food five stars fast service and good food absolutely loved it will definitely come again amazing experience enjoyed every bite,1
absolutely loved it pleasant surprise highly recommend this place amazing experience,1
worst food ever horrible service poor service very disappointed waste of money nothing special never coming back not tasty at all completely underwhelming never coming back horrible service waited too long nothing special not tasty at all totally overpriced totally overpriced waited too long waste of money not tasty at all food was cold,0
worth the money wonderful ambiance happy with the quality super tasty meals delicious taste and friendly staff wonderful ambiance great food and service definitely worth visiting,1
outstanding flavors everything was perfect service was excellent everything was perfect everything was perfect service was excellent,1
super tasty meals enjoyed every bite outstanding flavors great food and service enjoyed every bite pleasant surprise,1
waited too long not tasty at all food was cold terrible experience food was cold,0
bad quality food waste of money poor service would not recommend horrible service very disappointed feels unhygienic not tasty at all unpleasant visit nothing special completely underwhelming never coming back completely underwhelming,0
happy with the quality worth the money will definitely come again happy with the quality will definitely come again super tasty meals wonderful ambiance super tasty meals worth the money pleasant surprise delicious taste and friendly staff highly recommend this place enjoyed every bite,1
service was excellent outstanding flavors five stars best restaurant in town wonderful ambiance great food and service outstanding flavors service was excellent fast service and good food super tasty meals,1
would not recommend staff was rude horrible service unpleasant visit would not recommend would not recommend unpleasant visit completely underwhelming totally overpriced not tasty at all never coming back waited too long not tasty at all totally overpriced nothing special terrible experience would not recommend completely underwhelming waste of money waited too long,0
bad quality food flavor was lacking totally overpriced waste of money very disappointed nothing special flavor was lacking food was cold would not recommend horrible service flavor was lacking never coming back did not enjoy worst food ever,0
staff was rude worst food ever flavor was lacking completely underwhelming feels unhygienic nothing special staff was rude food was cold waited too long waited too long completely underwhelming waste of money terrible experience completely underwhelming waited too long bad quality food,0
enjoyed every bite definitely worth visiting enjoyed every bite best restaurant in town five stars absolutely loved it absolutely loved it everything was perfect absolutely loved it five stars very satisfied everything was perfect,1
enjoyed every bite best restaurant in town pleasant surprise service was excellent will definitely come again delicious taste and friendly staff best restaurant in town service was excellent amazing experience five stars enjoyed every bite,1
waste of money feels unhygienic nothing special not tasty at all bad quality food very disappointed worst food ever waste of money never coming back worst food ever food was cold waited too long,0
bad quality food very disappointed terrible experience did not enjoy bad quality food,0
pleasant surprise happy with the quality service was excellent highly recommend this place super tasty meals enjoyed every bite fast service and good food pleasant surprise highly recommend this place great food and service,1
waited too long poor service staff was rude unpleasant visit worst food ever food was cold nothing special not tasty at all feels unhygienic totally overpriced unpleasant visit bad quality food horrible service food was cold,0
bad quality food not tasty at all poor service unpleasant visit poor service flavor was lacking completely underwhelming never coming back feels unhygienic,0
completely underwhelming poor service completely underwhelming did not enjoy worst food ever food was cold waste of money nothing special did not enjoy never coming back very disappointed feels unhygienic worst food ever bad quality food,0
completely underwhelming nothing special unpleasant visit bad quality food bad quality food never coming back did not enjoy did not enjoy horrible service waste of money staff was rude did not enjoy nothing special waited too long very disappointed feels unhygienic never coming back horrible service waste of money,0
very disappointed waited too long poor service worst food ever feels unhygienic would not recommend waste of money,0
poor service not tasty at all terrible experience waited too long bad quality food nothing special unpleasant visit staff was rude not tasty at all,0
